Nombre;Año;Axis;Diametro;Peso
Bronze Quadrans of Vespasian- Rome- AD 74. 1944.100.41624 ;AD-74.;6;16.0;2.89
Silver Denarius of Nerva- Rome- AD 97. 1944.100.42634 ;AD-97.;6;12.0;3.12
Bronze AE3 of Constantine I- Constantinople- AD 328. 1944.100.9159 ;AD-328.;6;19.0;2.84
Silver Quinarius of Probus- Rome- AD 276 - AD 282. 1944.100.35854 ;AD-276;12;24.15;1.77
Bronze AE2 of Maximinus Daia- Antioch- AD 308. 1944.100.4367 ;AD-308.;6;24.0;5.43
Bronze AE1 of Diocletian- Antioch- AD 298. 1944.100.4119 ;AD-298.;5;27.0;9.63
Silver Denarius of Nerva- Rome- AD 97. 1956.127.72 ;AD-97.;6;17.0;3.27
Bronze AE3 of Constantine I- Cyzicus- AD 324 - AD 325. 1944.100.8829 ;AD-324;12;19.0;2.99
Bronze AE3 of Constantine I- Cyzicus- AD 324 - AD 325. 1944.100.8852 ;AD-324;6;17.0;3.12
Bronze As of Augustus- Caesaraugusta- 25 BC - 23 BC. 1944.100.39081 ;25-BC;11;26.5;10.36
Bronze Triens- Rome- 211 B.C.. 1969.83.168 ;211-B.C..;8;25.5;7.32
Bronze AE3 of Constantine I- Cyzicus- AD 326 - AD 327. 1944.100.8923 ;AD-326;7;18.0;2.96
Bronze Quadrans- Rome- 211 B.C.. 1969.83.179 ;211-B.C..;2;22.0;8.54
Bronze Sestertius of Hadrian- Rome- AD 134 - AD 138. 1946.35.10 ;AD-134;6;29.0;20.42
Silver Denarius of Augustus- Colonia Patricia- 19 BC - 15 BC. 1944.100.39065 ;19-BC;5;18.5;3.72
Bronze Sestertius of Commodus- Rome- AD 190. 1948.8.175 ;AD-190.;6;30.0;18.47
Bronze Sestertius of Nerva- Rome- AD 97. 1944.100.42660 ;AD-97.;5;33.0;28.4
Bronze AE3 of Constantius II- Alexandria- AD 337 - AD 340. 1954.123.30 ;AD-337;12;16.0;2.13
Silver Antoninianus of Tacitus- Ticinum- AD 275 - AD 276. 1948.8.151 ;AD-275;11;21.0;3.79
Bronze Sestertius of Trajan- Rome- AD 103 - AD 111. 1944.100.44720 ;AD-103;6;33.0;24.75
Silver Antoninianus of Carus- Cyzicus- AD 282 - AD 283. 1944.100.36380 ;AD-282;1;21.0;3.87
Silver Antoninianus of Probus- Antioch- AD 276 - AD 282. 1944.100.36208 ;AD-276;6;20.125;3.8
