Nombre,Fecha,Axis,Diametro,Peso,Anverso,Reverso
Silver Denarius of Severus Alexander- Rome- AD 228 - AD 231. 1955.67.2 ,AD-228,12,19.5,3.15,http://numismatics.org/collectionimages/19501999/1955/1955.67.2.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1955/1955.67.2.rev.width350.jpg
Bronze AE3 of Licinius- Heraclea- AD 317. 1957.159.28 ,AD-317.,5,19.0,3.32,http://numismatics.org/collectionimages/19501999/1957/1957.159.28.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.159.28.rev.width350.jpg
Silver Cistophorus of Claudius- Pergamum- AD 41 - AD 54. 1944.100.39368 ,AD-41,6,26.0,10.4,http://numismatics.org/collectionimages/19001949/1944/1944.100.39368.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39368.rev.width350.jpg
Bronze As of Antoninus Pius- Rome- AD 140 - AD 144. 1947.97.450 ,AD-140,12,25.0,9.49,http://numismatics.org/collectionimages/19001949/1947/1947.97.450.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1947/1947.97.450.rev.width350.jpg
Bronze Sestertius of Antoninus Pius- Rome- AD 156 - AD 157. 1957.172.1725 ,AD-156,6,31.0,25.32,http://numismatics.org/collectionimages/19501999/1957/1957.172.1725.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.172.1725.rev.width350.jpg
Silver Denarius of Antoninus Pius- Rome- AD 141. 1956.127.655 ,AD-141.,6,17.0,3.45,http://numismatics.org/collectionimages/19501999/1956/1956.127.655.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.655.rev.width350.jpg
Silver Denarius of Augustus- Emerita- 25 BC - 23 BC. 1969.222.1271 ,25-BC,2,19.0,3.76,http://numismatics.org/collectionimages/19501999/1969/1969.222.1271.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1969/1969.222.1271.rev.width350.jpg
Silver Denarius of Trajan- Rome- AD 112 - AD 114. 1956.127.1626 ,AD-112,7,18.0,3.26,http://numismatics.org/collectionimages/19501999/1956/1956.127.1626.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1626.rev.width350.jpg
Silver Antoninianus of Carausius- Uncertain value- AD 286 - AD 293. 1944.100.37960 ,AD-286,6,22.5,4.21,http://numismatics.org/collectionimages/19001949/1944/1944.100.37960.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.37960.rev.width350.jpg
Bronze AE1 of Maximian- Carthage- AD 303. 1944.100.4007 ,AD-303.,1,27.0,8.18,http://numismatics.org/collectionimages/19001949/1944/1944.100.4007.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.4007.rev.width350.jpg
Bronze Sestertius of Antoninus Pius- Rome- AD 148 - AD 149. 1944.100.48273 ,AD-148,12,32.0,27.47,http://numismatics.org/collectionimages/19001949/1944/1944.100.48273.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.48273.rev.width350.jpg
Silver Denarius of Titus- Rome- AD 80 - AD 81. 1956.127.40 ,AD-80,6,18.0,3.35,http://numismatics.org/collectionimages/19501999/1956/1956.127.40.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.40.rev.width350.jpg
Bronze AE1 of Maximian- Aquileia- AD 302 - AD 303. 1948.4.1 ,AD-302,12,27.0,9.09,http://numismatics.org/collectionimages/19001949/1948/1948.4.1.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.4.1.rev.width350.jpg
Silver Denarius of Vespasian- Rome- AD 75. 1956.127.1305 ,AD-75.,6,19.0,3.19,http://numismatics.org/collectionimages/19501999/1956/1956.127.1305.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1305.rev.width350.jpg
Bronze AE1 of Diocletian- Heraclea- AD 296 - AD 297. 1944.100.3866 ,AD-296,6,26.0,10.14,http://numismatics.org/collectionimages/19001949/1944/1944.100.3866.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.3866.rev.width350.jpg
